,ds,y,src
353,1895-08-01,-0.16,training
249,1895-09-01,-0.02,training
2358,1895-10-01,-0.11,training
1879,1895-11-01,-0.15,training
1222,1895-12-01,-0.12,training
1142,1896-01-01,-0.23,training
345,1896-02-01,-0.15,training
296,1896-03-01,-0.29,training
704,1896-04-01,-0.33,training
2832,1896-05-01,-0.19,training
2418,1896-06-01,-0.13,training
2899,1896-07-01,-0.06,training
2462,1896-08-01,-0.09,training
2756,1896-09-01,-0.05,training
2619,1896-10-01,0.04,training
3012,1896-11-01,-0.16,training
2434,1896-12-01,-0.12,training
2042,1897-01-01,-0.22,training
1927,1897-02-01,-0.19,training
2663,1897-03-01,-0.12,training
1846,1897-04-01,-0.01,training
579,1897-05-01,0.0,training
2229,1897-06-01,-0.12,training
707,1897-07-01,-0.04,training
1773,1897-08-01,-0.03,training
643,1897-09-01,-0.04,training
3183,1897-10-01,-0.1,training
1457,1897-11-01,-0.18,training
1345,1897-12-01,-0.26,training
465,1898-01-01,-0.06,training
2071,1898-02-01,-0.34,training
1023,1898-03-01,-0.55,training
1998,1898-04-01,-0.33,training
2191,1898-05-01,-0.35000000000000003,training
3115,1898-06-01,-0.2,training
2891,1898-07-01,-0.22,training
3203,1898-08-01,-0.22,training
1866,1898-09-01,-0.19,training
952,1898-10-01,-0.32,training
2040,1898-11-01,-0.35000000000000003,training
838,1898-12-01,-0.22,training
866,1899-01-01,-0.18,training
1935,1899-02-01,-0.39,training
1543,1899-03-01,-0.35000000000000003,training
1538,1899-04-01,-0.21,training
2031,1899-05-01,-0.2,training
2386,1899-06-01,-0.26,training
1890,1899-07-01,-0.13,training
3032,1899-08-01,-0.04,training
1610,1899-09-01,0.0,training
2767,1899-10-01,0.0,training
2888,1899-11-01,0.12,training
1322,1899-12-01,-0.27,training
2726,1900-01-01,-0.4,training
1569,1900-02-01,-0.08,training
1237,1900-03-01,0.02,training
633,1900-04-01,-0.14,training
1179,1900-05-01,-0.06,training
1734,1900-06-01,-0.15,training
829,1900-07-01,-0.09,training
3086,1900-08-01,-0.04,training
1267,1900-09-01,0.01,training
3133,1900-10-01,0.08,training
2818,1900-11-01,-0.13,training
1731,1900-12-01,-0.14,training
2804,1901-01-01,-0.30000000000000004,training
89,1901-02-01,-0.05,training
1542,1901-03-01,0.05,training
1776,1901-04-01,-0.06,training
192,1901-05-01,-0.18,training
1689,1901-06-01,-0.1,training
2492,1901-07-01,-0.09,training
1374,1901-08-01,-0.13,training
2671,1901-09-01,-0.17,training
3163,1901-10-01,-0.29,training
3219,1901-11-01,-0.17,training
2137,1901-12-01,-0.30000000000000004,training
1101,1902-01-01,-0.19,training
1386,1902-02-01,-0.03,training
3099,1902-03-01,-0.29,training
2412,1902-04-01,-0.27,training
685,1902-05-01,-0.31,training
3250,1902-06-01,-0.34,training
1088,1902-07-01,-0.26,training
2119,1902-08-01,-0.28,training
1812,1902-09-01,-0.2,training
3002,1902-10-01,-0.27,training
2520,1902-11-01,-0.36,training
416,1902-12-01,-0.46,training
338,1903-01-01,-0.27,training
172,1903-02-01,-0.06,training
1163,1903-03-01,-0.23,training
3104,1903-04-01,-0.39,training
2036,1903-05-01,-0.41,training
882,1903-06-01,-0.44,training
2365,1903-07-01,-0.30000000000000004,training
1652,1903-08-01,-0.44,training
2424,1903-09-01,-0.43,training
526,1903-10-01,-0.42,training
3253,1903-11-01,-0.38,training
1217,1903-12-01,-0.47,training
2735,1904-01-01,-0.64,training
1404,1904-02-01,-0.55,training
2902,1904-03-01,-0.46,training
2967,1904-04-01,-0.5,training
909,1904-05-01,-0.5,training
447,1904-06-01,-0.49,training
3287,1904-07-01,-0.48,training
1329,1904-08-01,-0.43,training
148,1904-09-01,-0.47,training
2250,1904-10-01,-0.35000000000000003,training
2769,1904-11-01,-0.16,training
971,1904-12-01,-0.29,training
1385,1905-01-01,-0.38,training
482,1905-02-01,-0.59,training
2595,1905-03-01,-0.25,training
1926,1905-04-01,-0.36,training
3122,1905-05-01,-0.33,training
744,1905-06-01,-0.31,training
655,1905-07-01,-0.25,training
978,1905-08-01,-0.21,training
1178,1905-09-01,-0.15,training
1702,1905-10-01,-0.23,training
1216,1905-11-01,-0.08,training
478,1905-12-01,-0.21,training
261,1906-01-01,-0.31,training
437,1906-02-01,-0.34,training
292,1906-03-01,-0.15,training
678,1906-04-01,-0.02,training
3240,1906-05-01,-0.21,training
1293,1906-06-01,-0.22,training
684,1906-07-01,-0.27,training
3218,1906-08-01,-0.19,training
1675,1906-09-01,-0.25,training
2683,1906-10-01,-0.2,training
1407,1906-11-01,-0.38,training
2817,1906-12-01,-0.18,training
457,1907-01-01,-0.44,training
1609,1907-02-01,-0.53,training
269,1907-03-01,-0.25,training
1696,1907-04-01,-0.4,training
1198,1907-05-01,-0.46,training
216,1907-06-01,-0.43,training
2041,1907-07-01,-0.35000000000000003,training
719,1907-08-01,-0.37,training
209,1907-09-01,-0.32,training
2582,1907-10-01,-0.24,training
708,1907-11-01,-0.51,training
1899,1907-12-01,-0.5,training
1751,1908-01-01,-0.46,training
1042,1908-02-01,-0.36,training
1553,1908-03-01,-0.58,training
2816,1908-04-01,-0.46,training
2292,1908-05-01,-0.4,training
2146,1908-06-01,-0.39,training
1162,1908-07-01,-0.35000000000000003,training
291,1908-08-01,-0.45,training
3108,1908-09-01,-0.33,training
2693,1908-10-01,-0.43,training
3278,1908-11-01,-0.51,training
3045,1908-12-01,-0.5,training
2901,1909-01-01,-0.7000000000000001,training
78,1909-02-01,-0.47,training
1188,1909-03-01,-0.52,training
1338,1909-04-01,-0.59,training
828,1909-05-01,-0.54,training
1705,1909-06-01,-0.52,training
1907,1909-07-01,-0.43,training
966,1909-08-01,-0.30000000000000004,training
378,1909-09-01,-0.37,training
139,1909-10-01,-0.39,training
1075,1909-11-01,-0.31,training
1827,1909-12-01,-0.55,training
1583,1910-01-01,-0.44,training
3026,1910-02-01,-0.43,training
1129,1910-03-01,-0.47,training
843,1910-04-01,-0.39,training
1934,1910-05-01,-0.34,training
1722,1910-06-01,-0.36,training
24,1910-07-01,-0.31,training
2333,1910-08-01,-0.34,training
2332,1910-09-01,-0.37,training
1933,1910-10-01,-0.39,training
2440,1910-11-01,-0.56,training
965,1910-12-01,-0.6900000000000001,training
2145,1911-01-01,-0.64,training
1017,1911-02-01,-0.6000000000000001,training
3066,1911-03-01,-0.62,training
335,1911-04-01,-0.55,training
564,1911-05-01,-0.51,training
23,1911-06-01,-0.47,training
2774,1911-07-01,-0.41,training
2303,1911-08-01,-0.43,training
1843,1911-09-01,-0.38,training
890,1911-10-01,-0.26,training
2765,1911-11-01,-0.2,training
1321,1911-12-01,-0.25,training
3011,1912-01-01,-0.27,training
1120,1912-02-01,-0.13,training
2360,1912-03-01,-0.37,training
2074,1912-04-01,-0.2,training
2797,1912-05-01,-0.2,training
624,1912-06-01,-0.26,training
1797,1912-07-01,-0.41,training
1704,1912-08-01,-0.51,training
1021,1912-09-01,-0.47,training
224,1912-10-01,-0.55,training
812,1912-11-01,-0.38,training
1969,1912-12-01,-0.42,training
970,1913-01-01,-0.41,training
2518,1913-02-01,-0.44,training
1925,1913-03-01,-0.44,training
2601,1913-04-01,-0.36,training
1304,1913-05-01,-0.45,training
137,1913-06-01,-0.46,training
2380,1913-07-01,-0.34,training
780,1913-08-01,-0.32,training
3138,1913-09-01,-0.32,training
1789,1913-10-01,-0.34,training
1804,1913-11-01,-0.18,training
3085,1913-12-01,-0.04,training
1726,1914-01-01,0.02,training
1898,1914-02-01,-0.13,training
1431,1914-03-01,-0.23,training
1444,1914-04-01,-0.28,training
560,1914-05-01,-0.19,training
759,1914-06-01,-0.22,training
364,1914-07-01,-0.24,training
2179,1914-08-01,-0.15,training
1718,1914-09-01,-0.13,training
1235,1914-10-01,-0.05,training
3025,1914-11-01,-0.2,training
229,1914-12-01,-0.1,training
805,1915-01-01,-0.2,training
2947,1915-02-01,-0.01,training
3181,1915-03-01,-0.08,training
2885,1915-04-01,0.07,training
2786,1915-05-01,-0.01,training
718,1915-06-01,-0.16,training
574,1915-07-01,-0.03,training
2267,1915-08-01,-0.15,training
2401,1915-09-01,-0.12,training
2566,1915-10-01,-0.22,training
2933,1915-11-01,-0.12,training
1980,1915-12-01,-0.25,training
2172,1916-01-01,-0.2,training
663,1916-02-01,-0.23,training
2392,1916-03-01,-0.31,training
1663,1916-04-01,-0.25,training
2454,1916-05-01,-0.27,training
404,1916-06-01,-0.44,training
3044,1916-07-01,-0.34,training
1768,1916-08-01,-0.27,training
2184,1916-09-01,-0.29,training
147,1916-10-01,-0.28,training
874,1916-11-01,-0.42,training
849,1916-12-01,-0.78,training
642,1917-01-01,-0.46,training
2555,1917-02-01,-0.53,training
2725,1917-03-01,-0.47,training
1811,1917-04-01,-0.38,training
1231,1917-05-01,-0.48,training
