,ds,y,src
1716,1949-02-01,-0.16,training
2020,1949-03-01,-0.01,training
1575,1949-04-01,-0.07,training
739,1949-05-01,-0.09,training
1832,1949-06-01,-0.22,training
258,1949-07-01,-0.13,training
1005,1949-08-01,-0.08,training
3092,1949-09-01,-0.08,training
1004,1949-10-01,-0.03,training
2506,1949-11-01,-0.08,training
522,1949-12-01,-0.19,training
2019,1950-01-01,-0.30000000000000004,training
329,1950-02-01,-0.26,training
2644,1950-03-01,-0.06,training
3171,1950-04-01,-0.21,training
1588,1950-05-01,-0.12,training
1117,1950-06-01,-0.06,training
2088,1950-07-01,-0.09,training
879,1950-08-01,-0.18,training
2698,1950-09-01,-0.1,training
2563,1950-10-01,-0.2,training
1552,1950-11-01,-0.35000000000000003,training
144,1950-12-01,-0.2,training
1715,1951-01-01,-0.35000000000000003,training
679,1951-02-01,-0.44,training
2236,1951-03-01,-0.19,training
384,1951-04-01,-0.1,training
1030,1951-05-01,-0.02,training
1654,1951-06-01,-0.05,training
1670,1951-07-01,0.0,training
281,1951-08-01,0.05,training
1416,1951-09-01,0.07,training
2171,1951-10-01,0.06,training
3082,1951-11-01,0.0,training
474,1951-12-01,0.15,training
1466,1952-01-01,0.16,training
2540,1952-02-01,0.12,training
1328,1952-03-01,-0.1,training
2950,1952-04-01,0.02,training
3153,1952-05-01,-0.05,training
2539,1952-06-01,-0.04,training
298,1952-07-01,0.05,training
1714,1952-08-01,0.07,training
1334,1952-09-01,0.08,training
1194,1952-10-01,-0.04,training
1193,1952-11-01,-0.17,training
2170,1952-12-01,-0.02,training
1565,1953-01-01,0.09,training
933,1953-02-01,0.16,training
218,1953-03-01,0.11,training
1848,1953-04-01,0.2,training
1008,1953-05-01,0.08,training
189,1953-06-01,0.08,training
691,1953-07-01,0.02,training
2406,1953-08-01,0.08,training
1126,1953-09-01,0.06,training
3152,1953-10-01,0.05,training
1694,1953-11-01,-0.05,training
2001,1953-12-01,0.03,training
629,1954-01-01,-0.28,training
2744,1954-02-01,-0.1,training
2297,1954-03-01,-0.12,training
968,1954-04-01,-0.18,training
1184,1954-05-01,-0.2,training
917,1954-06-01,-0.16,training
2538,1954-07-01,-0.16,training
1564,1954-08-01,-0.13,training
370,1954-09-01,-0.07,training
2550,1954-10-01,-0.01,training
1698,1954-11-01,0.08,training
2949,1954-12-01,-0.18,training
2611,1955-01-01,0.11,training
3246,1955-02-01,-0.21,training
1502,1955-03-01,-0.36,training
2164,1955-04-01,-0.23,training
512,1955-05-01,-0.2,training
681,1955-06-01,-0.08,training
1364,1955-07-01,-0.09,training
1669,1955-08-01,0.04,training
515,1955-09-01,-0.13,training
2535,1955-10-01,-0.05,training
2039,1955-11-01,-0.28,training
212,1955-12-01,-0.32,training
1047,1956-01-01,-0.17,training
1192,1956-02-01,-0.25,training
11,1956-03-01,-0.23,training
1484,1956-04-01,-0.26,training
1511,1956-05-01,-0.28,training
2784,1956-06-01,-0.15,training
953,1956-07-01,-0.12,training
3134,1956-08-01,-0.25,training
2321,1956-09-01,-0.22,training
514,1956-10-01,-0.24,training
2845,1956-11-01,-0.17,training
211,1956-12-01,-0.1,training
376,1957-01-01,-0.14,training
2139,1957-02-01,-0.05,training
1209,1957-03-01,-0.05,training
69,1957-04-01,-0.04,training
712,1957-05-01,0.08,training
181,1957-06-01,0.16,training
1298,1957-07-01,0.01,training
289,1957-08-01,0.14,training
3065,1957-09-01,0.06,training
2275,1957-10-01,0.01,training
2610,1957-11-01,0.07,training
2549,1957-12-01,0.16,training
2230,1958-01-01,0.39,training
1308,1958-02-01,0.24,training
3178,1958-03-01,0.1,training
1551,1958-04-01,0.01,training
1878,1958-05-01,0.08,training
1072,1958-06-01,-0.05,training
887,1958-07-01,0.06,training
1841,1958-08-01,-0.06,training
3107,1958-09-01,-0.03,training
901,1958-10-01,0.04,training
349,1958-11-01,0.02,training
1230,1958-12-01,0.01,training
2213,1959-01-01,0.06,training
1481,1959-02-01,0.09,training
1116,1959-03-01,0.19,training
2561,1959-04-01,0.16,training
2361,1959-05-01,0.06,training
1422,1959-06-01,0.02,training
2305,1959-07-01,0.06,training
854,1959-08-01,-0.01,training
123,1959-09-01,-0.06,training
3156,1959-10-01,-0.09,training
1380,1959-11-01,-0.09,training
2836,1959-12-01,-0.03,training
49,1960-01-01,-0.01,training
2794,1960-02-01,0.14,training
28,1960-03-01,-0.36,training
323,1960-04-01,-0.16,training
487,1960-05-01,-0.08,training
774,1960-06-01,0.01,training
2848,1960-07-01,-0.02,training
1815,1960-08-01,-0.01,training
2087,1960-09-01,0.05,training
2606,1960-10-01,0.07,training
449,1960-11-01,-0.11,training
505,1960-12-01,0.18,training
143,1961-01-01,0.07,training
303,1961-02-01,0.18,training
988,1961-03-01,0.09,training
1327,1961-04-01,0.15,training
640,1961-05-01,0.13,training
1434,1961-06-01,0.12,training
2537,1961-07-01,-0.03,training
1115,1961-08-01,0.02,training
1099,1961-09-01,0.05,training
1968,1961-10-01,0.0,training
1253,1961-11-01,0.03,training
2097,1961-12-01,-0.15,training
1297,1962-01-01,0.08,training
2982,1962-02-01,0.14,training
1607,1962-03-01,0.12,training
82,1962-04-01,0.05,training
3166,1962-05-01,-0.06,training
2430,1962-06-01,0.06,training
2044,1962-07-01,-0.02,training
826,1962-08-01,-0.02,training
3077,1962-09-01,-0.01,training
2005,1962-10-01,-0.03,training
2690,1962-11-01,0.06,training
1614,1962-12-01,-0.01,training
2863,1963-01-01,-0.03,training
3180,1963-02-01,0.19,training
1589,1963-03-01,-0.13,training
1090,1963-04-01,-0.05,training
602,1963-05-01,-0.09,training
1191,1963-06-01,0.03,training
2580,1963-07-01,0.08,training
3193,1963-08-01,0.25,training
401,1963-09-01,0.2,training
275,1963-10-01,0.15,training
762,1963-11-01,0.15,training
1876,1963-12-01,0.0,training
68,1964-01-01,-0.06,training
2205,1964-02-01,-0.12,training
2858,1964-03-01,-0.22,training
201,1964-04-01,-0.30000000000000004,training
1498,1964-05-01,-0.25,training
2064,1964-06-01,-0.07,training
2405,1964-07-01,-0.07,training
2125,1964-08-01,-0.2,training
227,1964-09-01,-0.28,training
3213,1964-10-01,-0.30000000000000004,training
689,1964-11-01,-0.21,training
588,1964-12-01,-0.30000000000000004,training
2851,1965-01-01,-0.09,training
1000,1965-02-01,-0.17,training
538,1965-03-01,-0.11,training
2000,1965-04-01,-0.2,training
802,1965-05-01,-0.14,training
2242,1965-06-01,-0.08,training
727,1965-07-01,-0.12,training
2341,1965-08-01,-0.01,training
2921,1965-09-01,-0.15,training
2971,1965-10-01,-0.04,training
1362,1965-11-01,-0.06,training
1606,1965-12-01,-0.05,training
12,1966-01-01,-0.16,training
1367,1966-02-01,0.0,training
2151,1966-03-01,0.04,training
111,1966-04-01,-0.13,training
769,1966-05-01,-0.1,training
1086,1966-06-01,0.02,training
2738,1966-07-01,0.09,training
3072,1966-08-01,-0.1,training
1477,1966-09-01,-0.01,training
2530,1966-10-01,-0.15,training
1967,1966-11-01,-0.02,training
511,1966-12-01,-0.06,training
3227,1967-01-01,-0.06,training
235,1967-02-01,-0.2,training
3146,1967-03-01,0.03,training
92,1967-04-01,-0.05,training
573,1967-05-01,0.14,training
1845,1967-06-01,-0.08,training
1903,1967-07-01,0.01,training
1877,1967-08-01,0.02,training
753,1967-09-01,-0.04,training
356,1967-10-01,0.06,training
445,1967-11-01,-0.06,training
825,1967-12-01,-0.02,training
1808,1968-01-01,-0.23,training
2743,1968-02-01,-0.15,training
1020,1968-03-01,0.21,training
152,1968-04-01,-0.05,training
2917,1968-05-01,-0.1,training
700,1968-06-01,-0.06,training
484,1968-07-01,-0.11,training
2647,1968-08-01,-0.11,training
1743,1968-09-01,-0.18,training
1556,1968-10-01,0.12,training
2419,1968-11-01,-0.04,training
1563,1968-12-01,-0.14,training
1872,1969-01-01,-0.11,training
122,1969-02-01,-0.14,training
3110,1969-03-01,0.0,training
1942,1969-04-01,0.19,training
2995,1969-05-01,0.2,training
2871,1969-06-01,0.05,training
2665,1969-07-01,-0.01,training
1451,1969-08-01,0.03,training
2357,1969-09-01,0.1,training
1223,1969-10-01,0.11,training
967,1969-11-01,0.12,training
596,1969-12-01,0.27,training
27,1970-01-01,0.09,training
1595,1970-02-01,0.22,training
2803,1970-03-01,0.08,training
1708,1970-04-01,0.09,training
3276,1970-05-01,-0.05,training
1688,1970-06-01,-0.03,training
2953,1970-07-01,-0.04,training
418,1970-08-01,-0.11,training
1409,1970-09-01,0.11,training
899,1970-10-01,0.05,training
2458,1970-11-01,0.01,training
1830,1970-12-01,-0.13,training
840,1971-01-01,-0.02,training
257,1971-02-01,-0.2,training
1802,1971-03-01,-0.18,training
39,1971-04-01,-0.09,training
1375,1971-05-01,-0.06,training
2742,1971-06-01,-0.18,training
1953,1971-07-01,-0.12,training
1296,1971-08-01,-0.03,training
2706,1971-09-01,-0.01,training
3023,1971-10-01,-0.05,training
2032,1971-11-01,-0.04,training
2315,1971-12-01,-0.08,training
3256,1972-01-01,-0.24,training
543,1972-02-01,-0.17,training
2609,1972-03-01,0.02,training
1966,1972-04-01,-0.01,training
2373,1972-05-01,-0.03,training
2829,1972-06-01,0.04,training
1085,1972-07-01,0.02,training
1426,1972-08-01,0.18,training
2367,1972-09-01,0.03,training
566,1972-10-01,0.09,training
2457,1972-11-01,0.03,training
2313,1972-12-01,0.18,training
758,1973-01-01,0.28,training
88,1973-02-01,0.30000000000000004,training
2190,1973-03-01,0.26,training
1807,1973-04-01,0.25,training
1473,1973-05-01,0.26,training
1756,1973-06-01,0.16,training
2414,1973-07-01,0.09,training
1958,1973-08-01,0.02,training
1167,1973-09-01,0.06,training
1106,1973-10-01,0.12,training
66,1973-11-01,0.06,training
913,1973-12-01,-0.06,training
504,1974-01-01,-0.14,training
1828,1974-02-01,-0.28,training
2491,1974-03-01,-0.05,training
2808,1974-04-01,-0.1,training
1183,1974-05-01,-0.01,training
2320,1974-06-01,-0.05,training
2449,1974-07-01,-0.03,training
1353,1974-08-01,0.12,training
2548,1974-09-01,-0.12,training
2654,1974-10-01,-0.07,training
1613,1974-11-01,-0.07,training
332,1974-12-01,-0.09,training
2913,1975-01-01,0.07,training
746,1975-02-01,0.07,training
1680,1975-03-01,0.14,training
1040,1975-04-01,0.06,training
1986,1975-05-01,0.16,training
1307,1975-06-01,-0.02,training
3282,1975-07-01,-0.03,training
878,1975-08-01,-0.2,training
1729,1975-09-01,-0.03,training
2280,1975-10-01,-0.09,training
3,1975-11-01,-0.16,training
86,1975-12-01,-0.17,training
203,1976-01-01,0.0,training
1046,1976-02-01,-0.06,training
234,1976-03-01,-0.21,training
1897,1976-04-01,-0.1,training
3286,1976-05-01,-0.23,training
1361,1976-06-01,-0.15,training
998,1976-07-01,-0.12,training
551,1976-08-01,-0.18,training
1278,1976-09-01,-0.09,training
220,1976-10-01,-0.26,training
1864,1976-11-01,-0.06,training
819,1976-12-01,0.09,training
2356,1977-01-01,0.18,training
2300,1977-02-01,0.2,training
1065,1977-03-01,0.25,training
2505,1977-04-01,0.27,training
2696,1977-05-01,0.30000000000000004,training
2806,1977-06-01,0.25,training
2731,1977-07-01,0.23,training
2952,1977-08-01,0.19,training
2629,1977-09-01,0.02,training
2016,1977-10-01,0.04,training
1097,1977-11-01,0.2,training
877,1977-12-01,0.05,training
1863,1978-01-01,0.08,training
2515,1978-02-01,0.14,training
1475,1978-03-01,0.21,training
165,1978-04-01,0.15,training
2886,1978-05-01,0.07,training
430,1978-06-01,-0.03,training
175,1978-07-01,0.07,training
2828,1978-08-01,-0.18,training
3199,1978-09-01,0.05,training
750,1978-10-01,0.0,training
1158,1978-11-01,0.16,training
904,1978-12-01,0.11,training
2798,1979-01-01,0.14,training
3165,1979-02-01,-0.09,training
556,1979-03-01,0.19,training
1251,1979-04-01,0.13,training
1902,1979-05-01,0.06,training
1240,1979-06-01,0.14,training
1594,1979-07-01,0.03,training
606,1979-08-01,0.14,training
2102,1979-09-01,0.27,training
2951,1979-10-01,0.26,training
550,1979-11-01,0.29,training
2514,1979-12-01,0.47,training
3106,1980-01-01,0.30000000000000004,training
1819,1980-02-01,0.42,training
3005,1980-03-01,0.29,training
108,1980-04-01,0.32,training
3245,1980-05-01,0.34,training
535,1980-06-01,0.16,training
180,1980-07-01,0.28,training
518,1980-08-01,0.24,training
253,1980-09-01,0.21,training
3222,1980-10-01,0.2,training
2513,1980-11-01,0.30000000000000004,training
46,1980-12-01,0.21,training
734,1981-01-01,0.56,training
876,1981-02-01,0.41,training
2150,1981-03-01,0.48,training
317,1981-04-01,0.32,training
2384,1981-05-01,0.25,training
245,1981-06-01,0.31,training
481,1981-07-01,0.35000000000000003,training
912,1981-08-01,0.35000000000000003,training
886,1981-09-01,0.17,training
409,1981-10-01,0.13,training
2517,1981-11-01,0.21,training
2577,1981-12-01,0.4,training
244,1982-01-01,0.09,training
3018,1982-02-01,0.14,training
1886,1982-03-01,-0.01,training
56,1982-04-01,0.1,training
1096,1982-05-01,0.16,training
1976,1982-06-01,0.05,training
1170,1982-07-01,0.13,training
2340,1982-08-01,0.08,training
55,1982-09-01,0.15,training
671,1982-10-01,0.13,training
1522,1982-11-01,0.14,training
2404,1982-12-01,0.43,training
2265,1983-01-01,0.52,training
167,1983-02-01,0.4,training
1952,1983-03-01,0.42,training
2271,1983-04-01,0.30000000000000004,training
832,1983-05-01,0.35000000000000003,training
210,1983-06-01,0.18,training
421,1983-07-01,0.15,training
1657,1983-08-01,0.30000000000000004,training
862,1983-09-01,0.38,training
2378,1983-10-01,0.15,training
975,1983-11-01,0.30000000000000004,training
893,1983-12-01,0.17,training
1495,1984-01-01,0.30000000000000004,training
274,1984-02-01,0.17,training
2225,1984-03-01,0.29,training
2260,1984-04-01,0.08,training
1951,1984-05-01,0.33,training
1605,1984-06-01,0.04,training
3009,1984-07-01,0.16,training
1351,1984-08-01,0.15,training
2131,1984-09-01,0.2,training
2134,1984-10-01,0.15,training
1405,1984-11-01,0.04,training
695,1984-12-01,-0.06,training
2290,1985-01-01,0.21,training
2910,1985-02-01,-0.06,training
3064,1985-03-01,0.17,training
528,1985-04-01,0.11,training
1939,1985-05-01,0.17,training
2279,1985-06-01,0.17,training
3259,1985-07-01,0.0,training
1915,1985-08-01,0.15,training
1660,1985-09-01,0.14,training
1064,1985-10-01,0.11,training
3101,1985-11-01,0.09,training
761,1985-12-01,0.15,training
2123,1986-01-01,0.30000000000000004,training
1914,1986-02-01,0.39,training
650,1986-03-01,0.29,training
3080,1986-04-01,0.26,training
1449,1986-05-01,0.26,training
2349,1986-06-01,0.12,training
2221,1986-07-01,0.13,training
2181,1986-08-01,0.12,training
1366,1986-09-01,0.02,training
271,1986-10-01,0.14,training
1028,1986-11-01,0.11,training
44,1986-12-01,0.16,training
1333,1987-01-01,0.36,training
714,1987-02-01,0.46,training
2484,1987-03-01,0.17,training
2167,1987-04-01,0.24,training
2204,1987-05-01,0.26,training
694,1987-06-01,0.36,training
2115,1987-07-01,0.46,training
1593,1987-08-01,0.28,training
1665,1987-09-01,0.39,training
196,1987-10-01,0.32,training
852,1987-11-01,0.25,training
2733,1987-12-01,0.47,training
517,1988-01-01,0.5700000000000001,training
3027,1988-02-01,0.42,training
1712,1988-03-01,0.49,training
2495,1988-04-01,0.45,training
578,1988-05-01,0.44,training
3160,1988-06-01,0.42,training
621,1988-07-01,0.35000000000000003,training
2720,1988-08-01,0.46,training
2083,1988-09-01,0.42,training
2909,1988-10-01,0.4,training
2247,1988-11-01,0.13,training
3118,1988-12-01,0.34,training
1063,1989-01-01,0.16,training
3071,1989-02-01,0.35000000000000003,training
362,1989-03-01,0.36,training
2264,1989-04-01,0.33,training
273,1989-05-01,0.17,training
1881,1989-06-01,0.15,training
3198,1989-07-01,0.34,training
2004,1989-08-01,0.36,training
931,1989-09-01,0.37,training
1622,1989-10-01,0.32,training
1913,1989-11-01,0.21,training
417,1989-12-01,0.37,training
2919,1990-01-01,0.41,training
2998,1990-02-01,0.41,training
871,1990-03-01,0.76,training
361,1990-04-01,0.55,training
2022,1990-05-01,0.46,training
2782,1990-06-01,0.38,training
2483,1990-07-01,0.44,training
238,1990-08-01,0.30000000000000004,training
1295,1990-09-01,0.30000000000000004,training
3100,1990-10-01,0.43,training
228,1990-11-01,0.46,training
1239,1990-12-01,0.42,training
316,1991-01-01,0.42,training
1870,1991-02-01,0.51,training
322,1991-03-01,0.36,training
1003,1991-04-01,0.53,training
565,1991-05-01,0.39,training
121,1991-06-01,0.54,training
2528,1991-07-01,0.51,training
3223,1991-08-01,0.42,training
1719,1991-09-01,0.5,training
1051,1991-10-01,0.32,training
2571,1991-11-01,0.31,training
2669,1991-12-01,0.33,training
2377,1992-01-01,0.45,training
2608,1992-02-01,0.42,training
620,1992-03-01,0.47,training
619,1992-04-01,0.24,training
2477,1992-05-01,0.32,training
870,1992-06-01,0.24,training
1521,1992-07-01,0.13,training
1625,1992-08-01,0.1,training
1627,1992-09-01,0.01,training
2757,1992-10-01,0.11,training
2988,1992-11-01,0.04,training
1497,1992-12-01,0.22,training
1999,1993-01-01,0.37,training
2997,1993-02-01,0.39,training
2874,1993-03-01,0.36,training
1514,1993-04-01,0.28,training
999,1993-05-01,0.26,training
945,1993-06-01,0.24,training
2176,1993-07-01,0.28,training
3188,1993-08-01,0.13,training
1014,1993-09-01,0.11,training
3105,1993-10-01,0.24,training
1288,1993-11-01,0.07,training
519,1993-12-01,0.19,training
1276,1994-01-01,0.30000000000000004,training
400,1994-02-01,0.04,training
974,1994-03-01,0.26,training
2597,1994-04-01,0.41,training
1761,1994-05-01,0.29,training
2339,1994-06-01,0.42,training
2338,1994-07-01,0.32,training
897,1994-08-01,0.23,training
710,1994-09-01,0.32,training
789,1994-10-01,0.42,training
1275,1994-11-01,0.46,training
1268,1994-12-01,0.36,training
973,1995-01-01,0.5,training
217,1995-02-01,0.77,training
1786,1995-03-01,0.45,training
527,1995-04-01,0.47,training
1893,1995-05-01,0.29,training
1562,1995-06-01,0.45,training
926,1995-07-01,0.49,training
3271,1995-08-01,0.48,training
1079,1995-09-01,0.34,training
288,1995-10-01,0.49,training
263,1995-11-01,0.45,training
2456,1995-12-01,0.30000000000000004,training
626,1996-01-01,0.27,training
668,1996-02-01,0.5,training
2716,1996-03-01,0.34,training
9,1996-04-01,0.38,training
1779,1996-05-01,0.30000000000000004,training
3149,1996-06-01,0.27,training
2442,1996-07-01,0.37,training
1389,1996-08-01,0.49,training
1070,1996-09-01,0.27,training
2363,1996-10-01,0.2,training
1644,1996-11-01,0.42,training
2634,1996-12-01,0.41,training
2329,1997-01-01,0.33,training
1624,1997-02-01,0.37,training
2187,1997-03-01,0.52,training
1388,1997-04-01,0.38,training
3275,1997-05-01,0.39,training
202,1997-06-01,0.55,training
2574,1997-07-01,0.35000000000000003,training
2822,1997-08-01,0.43,training
237,1997-09-01,0.56,training
1989,1997-10-01,0.64,training
195,1997-11-01,0.66,training
670,1997-12-01,0.6000000000000001,training
1912,1998-01-01,0.61,training
2588,1998-02-01,0.9,training
174,1998-03-01,0.63,training
930,1998-04-01,0.64,training
1164,1998-05-01,0.71,training
266,1998-06-01,0.78,training
3274,1998-07-01,0.71,training
646,1998-08-01,0.68,training
2348,1998-09-01,0.45,training
1335,1998-10-01,0.47,training
2761,1998-11-01,0.5,training
773,1998-12-01,0.56,training
1755,1999-01-01,0.48,training
2807,1999-02-01,0.66,training
3116,1999-03-01,0.34,training
885,1999-04-01,0.34,training
2603,1999-05-01,0.33,training
3236,1999-06-01,0.37,training
2934,1999-07-01,0.41,training
2494,1999-08-01,0.34,training
1281,1999-09-01,0.43,training
2426,1999-10-01,0.43,training
2252,1999-11-01,0.42,training
733,1999-12-01,0.46,training
1029,2000-01-01,0.26,training
251,2000-02-01,0.58,training
3142,2000-03-01,0.6000000000000001,training
2662,2000-04-01,0.59,training
2399,2000-05-01,0.4,training
2289,2000-06-01,0.44,training
3040,2000-07-01,0.42,training
618,2000-08-01,0.43,training
2156,2000-09-01,0.42,training
1045,2000-10-01,0.30000000000000004,training
2130,2000-11-01,0.34,training
1604,2000-12-01,0.30000000000000004,training
1643,2001-01-01,0.44,training
1598,2001-02-01,0.46,training
302,2001-03-01,0.58,training
2673,2001-04-01,0.52,training
1801,2001-05-01,0.59,training
2079,2001-06-01,0.55,training
2880,2001-07-01,0.61,training
1036,2001-08-01,0.49,training
2567,2001-09-01,0.56,training
723,2001-10-01,0.52,training
2616,2001-11-01,0.7000000000000001,training
1122,2001-12-01,0.55,training
637,2002-01-01,0.75,training
1396,2002-02-01,0.76,training
3192,2002-03-01,0.91,training
617,2002-04-01,0.58,training
2263,2002-05-01,0.65,training
169,2002-06-01,0.54,training
1326,2002-07-01,0.62,training
2604,2002-08-01,0.55,training
1946,2002-09-01,0.65,training
2465,2002-10-01,0.5700000000000001,training
2082,2002-11-01,0.59,training
1103,2002-12-01,0.43,training
1438,2003-01-01,0.73,training
1156,2003-02-01,0.55,training
3191,2003-03-01,0.5700000000000001,training
2956,2003-04-01,0.55,training
1975,2003-05-01,0.62,training
2719,2003-06-01,0.49,training
453,2003-07-01,0.55,training
2366,2003-08-01,0.66,training
911,2003-09-01,0.66,training
693,2003-10-01,0.75,training
846,2003-11-01,0.55,training
1791,2003-12-01,0.75,training
1888,2004-01-01,0.59,training
600,2004-02-01,0.71,training
861,2004-03-01,0.64,training
2429,2004-04-01,0.62,training
1262,2004-05-01,0.42,training
2963,2004-06-01,0.43,training
17,2004-07-01,0.26,training
3087,2004-08-01,0.45,training
2444,2004-09-01,0.53,training
996,2004-10-01,0.66,training
1035,2004-11-01,0.72,training
2061,2004-12-01,0.52,training
2703,2005-01-01,0.72,training
1083,2005-02-01,0.58,training
1314,2005-03-01,0.6900000000000001,training
922,2005-04-01,0.6900000000000001,training
1971,2005-05-01,0.65,training
3070,2005-06-01,0.67,training
2560,2005-07-01,0.66,training
1561,2005-08-01,0.63,training
448,2005-09-01,0.78,training
1887,2005-10-01,0.8,training
1574,2005-11-01,0.76,training
21,2005-12-01,0.68,training
2117,2006-01-01,0.5700000000000001,training
1252,2006-02-01,0.7000000000000001,training
1621,2006-03-01,0.63,training
1891,2006-04-01,0.5,training
2664,2006-05-01,0.47,training
2962,2006-06-01,0.64,training
2355,2006-07-01,0.54,training
3170,2006-08-01,0.72,training
667,2006-09-01,0.64,training
2702,2006-10-01,0.6900000000000001,training
2428,2006-11-01,0.72,training
1691,2006-12-01,0.77,training
595,2007-01-01,0.96,training
766,2007-02-01,0.7000000000000001,training
666,2007-03-01,0.7000000000000001,training
1002,2007-04-01,0.76,training
2615,2007-05-01,0.67,training
1472,2007-06-01,0.58,training
1372,2007-07-01,0.62,training
1062,2007-08-01,0.6000000000000001,training
110,2007-09-01,0.64,training
625,2007-10-01,0.6000000000000001,training
2047,2007-11-01,0.5700000000000001,training
2802,2007-12-01,0.5,training
2028,2008-01-01,0.24,training
479,2008-02-01,0.36,training
2688,2008-03-01,0.73,training
1330,2008-04-01,0.53,training
2448,2008-05-01,0.51,training
892,2008-06-01,0.48,training
214,2008-07-01,0.6000000000000001,training
2138,2008-08-01,0.44,training
412,2008-09-01,0.65,training
845,2008-10-01,0.67,training
423,2008-11-01,0.66,training
616,2008-12-01,0.54,training
1536,2009-01-01,0.62,training
495,2009-02-01,0.53,training
1684,2009-03-01,0.53,training
2093,2009-04-01,0.61,training
593,2009-05-01,0.65,training
2709,2009-06-01,0.65,training
2912,2009-07-01,0.72,training
300,2009-08-01,0.66,training
1937,2009-09-01,0.7000000000000001,training
3054,2009-10-01,0.64,training
2970,2009-11-01,0.77,training
2455,2009-12-01,0.65,training
173,2010-01-01,0.73,training
1414,2010-02-01,0.78,training
241,2010-03-01,0.92,training
2010,2010-04-01,0.87,training
90,2010-05-01,0.75,training
1241,2010-06-01,0.64,training
2092,2010-07-01,0.62,training
3225,2010-08-01,0.65,training
3208,2010-09-01,0.61,training
375,2010-10-01,0.71,training
1442,2010-11-01,0.79,training
331,2010-12-01,0.49,training
1413,2011-01-01,0.51,training
1012,2011-02-01,0.53,training
1171,2011-03-01,0.64,training
3074,2011-04-01,0.65,training
3260,2011-05-01,0.53,training
2383,2011-06-01,0.59,training
3207,2011-07-01,0.73,training
2833,2011-08-01,0.73,training
407,2011-09-01,0.56,training
1149,2011-10-01,0.66,training
1060,2011-11-01,0.56,training
389,2011-12-01,0.54,training
809,2012-01-01,0.46,training
2180,2012-02-01,0.49,training
1395,2012-03-01,0.58,training
1440,2012-04-01,0.6900000000000001,training
807,2012-05-01,0.76,training
929,2012-06-01,0.62,training
3164,2012-07-01,0.5700000000000001,training
1496,2012-08-01,0.63,training
3130,2012-09-01,0.76,training
3234,2012-10-01,0.78,training
2687,2012-11-01,0.75,training
2882,2012-12-01,0.53,training
1350,2013-01-01,0.68,training
1155,2013-02-01,0.55,actual
1911,2013-03-01,0.66,actual
1790,2013-04-01,0.52,actual
2109,2013-05-01,0.61,actual
2202,2013-06-01,0.65,actual
577,2013-07-01,0.59,actual
262,2013-08-01,0.66,actual
1445,2013-09-01,0.78,actual
2872,2013-10-01,0.6900000000000001,actual
460,2013-11-01,0.81,actual
2288,2013-12-01,0.67,actual
2051,2014-01-01,0.73,actual
2464,2014-02-01,0.51,actual
2060,2014-03-01,0.77,actual
742,2014-04-01,0.78,actual
2632,2014-05-01,0.87,actual
3285,2014-06-01,0.66,actual
3206,2014-07-01,0.5700000000000001,actual
2714,2014-08-01,0.8200000000000001,actual
280,2014-09-01,0.9,actual
194,2014-10-01,0.85,actual
2545,2014-11-01,0.67,actual
382,2014-12-01,0.79,actual
2262,2015-01-01,0.81,actual
2584,2015-02-01,0.86,actual
3174,2015-03-01,0.9,actual
2969,2015-04-01,0.74,actual
1642,2015-05-01,0.78,actual
1530,2015-06-01,0.78,actual
1805,2015-07-01,0.71,actual
1325,2015-08-01,0.78,actual
1977,2015-09-01,0.81,actual
938,2015-10-01,1.06,actual
752,2015-11-01,1.04,actual
3148,2015-12-01,1.11,actual
2354,2016-01-01,1.17,actual
850,2016-02-01,1.35,actual
1516,2016-03-01,1.3,actual
1102,2016-04-01,1.09,actual
1148,2016-05-01,0.93,actual
537,2016-06-01,0.76,actual
644,2016-07-01,0.8300000000000001,actual
365,2016-08-01,0.98,actual
636,2016-09-01,0.87,actual
688,2016-10-01,0.89,actual
1200,2016-11-01,0.93,actual
2208,2016-12-01,0.81,actual
1597,2013-01-31,0.696007477038631,forecast
1598,2013-02-28,0.707268878640177,forecast
1599,2013-03-31,0.7031050807299702,forecast
1600,2013-04-30,0.6835130181110403,forecast
1601,2013-05-31,0.7011703024221547,forecast
1602,2013-06-30,0.7209690187796606,forecast
1603,2013-07-31,0.7093252907165825,forecast
1604,2013-08-31,0.7211249554464882,forecast
1605,2013-09-30,0.7403037923442292,forecast
1606,2013-10-31,0.7381581714560622,forecast
1607,2013-11-30,0.6704296497510821,forecast
1608,2013-12-31,0.7345998925563288,forecast
1609,2014-01-31,0.7102941764212293,forecast
1610,2014-02-28,0.7216022384889822,forecast
1611,2014-03-31,0.720512558280381,forecast
1612,2014-04-30,0.6974380962758858,forecast
1613,2014-05-31,0.7226493652324575,forecast
1614,2014-06-30,0.7384629766594295,forecast
1615,2014-07-31,0.7241843379483206,forecast
1616,2014-08-31,0.7348190019102071,forecast
1617,2014-09-30,0.7572828108289545,forecast
1618,2014-10-31,0.7578315908109489,forecast
1619,2014-11-30,0.6818865485410635,forecast
1620,2014-12-31,0.7591568763036887,forecast
1597,2013-01-31,0.5036905666553824,yhat_lower
1598,2013-02-28,0.5139019579488854,yhat_lower
1599,2013-03-31,0.5122586954162155,yhat_lower
1600,2013-04-30,0.4932554710168489,yhat_lower
1601,2013-05-31,0.5072850483663404,yhat_lower
