Source;Date;Mean
GISTEMP;2002-06-01;0.54
GCAG;2001-03-01;0.6293000000000001
GISTEMP;1919-11-01;-0.29
GISTEMP;1903-02-01;-0.06
GISTEMP;2010-01-01;0.73
GISTEMP;1998-03-01;0.63
GISTEMP;1978-07-01;0.07
GCAG;1970-08-01;-0.0198
GISTEMP;1885-02-01;-0.30000000000000004
GISTEMP;1882-10-01;-0.23
GCAG;1998-02-01;0.866
GISTEMP;1980-07-01;0.28
GISTEMP;1957-06-01;0.16
GISTEMP;1936-06-01;-0.19
GCAG;1962-03-01;0.1197
GISTEMP;1947-08-01;-0.08
GCAG;1890-05-01;-0.38920000000000005
GCAG;2001-04-01;0.5666
GCAG;1941-06-01;0.16140000000000002
GCAG;1928-02-01;-0.145
GISTEMP;1953-06-01;0.08
GCAG;1944-10-01;0.323
GCAG;1903-09-01;-0.37560000000000004
GISTEMP;1901-05-01;-0.18
GCAG;2011-05-01;0.5741
GISTEMP;2014-10-01;0.85
GISTEMP;1997-11-01;0.66
GISTEMP;1987-10-01;0.32
GCAG;1972-09-01;0.0207
GCAG;1944-09-01;0.3855
GCAG;1906-09-01;-0.3053
GCAG;1970-05-01;0.0414
GISTEMP;1964-04-01;-0.30000000000000004
GISTEMP;1997-06-01;0.55
GISTEMP;1976-01-01;0.0
GCAG;1959-05-01;0.0263
GCAG;1956-08-01;-0.18660000000000002
GCAG;1937-11-01;0.0099
GISTEMP;1938-08-01;-0.04
GCAG;1910-08-01;-0.3325
GISTEMP;1907-09-01;-0.32
GISTEMP;1983-06-01;0.18
GISTEMP;1956-12-01;-0.1
GISTEMP;1955-12-01;-0.32
GCAG;1906-07-01;-0.2467
GISTEMP;2008-07-01;0.6000000000000001
GISTEMP;1927-10-01;-0.01
GISTEMP;1907-06-01;-0.43
GISTEMP;1995-02-01;0.77
GISTEMP;1953-03-01;0.11
GISTEMP;1919-01-01;-0.21
GISTEMP;1976-10-01;-0.26
GCAG;1969-01-01;-0.1295
GISTEMP;1939-10-01;-0.03
GISTEMP;1917-08-01;-0.26
GISTEMP;1912-10-01;-0.55
GISTEMP;1920-04-01;-0.26
GCAG;1885-06-01;-0.3052
GISTEMP;1964-09-01;-0.28
GISTEMP;1990-11-01;0.46
GISTEMP;1914-12-01;-0.1
GISTEMP;1884-12-01;-0.30000000000000004
GCAG;2016-09-01;0.8767
GCAG;1995-05-01;0.3537
GCAG;1987-06-01;0.3013
GISTEMP;1976-03-01;-0.21
GISTEMP;1967-02-01;-0.2
GISTEMP;1937-07-01;-0.05
GISTEMP;1997-09-01;0.56
GISTEMP;1990-08-01;0.30000000000000004
GISTEMP;1937-10-01;0.1
GISTEMP;1925-11-01;0.03
GISTEMP;2010-03-01;0.92
GCAG;1982-09-01;0.233
GCAG;1986-09-01;0.1716
GISTEMP;1982-01-01;0.09
GISTEMP;1981-06-01;0.31
GCAG;1949-10-01;-0.0297
GCAG;1889-01-01;-0.0944
GCAG;2014-03-01;0.7695000000000001
GISTEMP;1895-09-01;-0.02
GISTEMP;1936-08-01;-0.12
GISTEMP;2000-02-01;0.58
GCAG;1983-02-01;0.4834
GISTEMP;1980-09-01;0.21
GCAG;2001-02-01;0.3946
GCAG;1977-04-01;0.28200000000000003
GCAG;1933-04-01;-0.2044
GISTEMP;1971-02-01;-0.2
GISTEMP;1949-07-01;-0.13
GCAG;1941-05-01;0.2446
GISTEMP;1925-02-01;-0.35000000000000003
GISTEMP;1906-01-01;-0.31
GISTEMP;2013-08-01;0.66
GISTEMP;1995-11-01;0.45
GCAG;1991-03-01;0.3658
GCAG;2015-06-01;0.8835000000000001
GISTEMP;1998-06-01;0.78
GCAG;1918-08-01;-0.1777
GCAG;1907-07-01;-0.3547
GISTEMP;1907-03-01;-0.25
GISTEMP;1881-05-01;-0.04
GISTEMP;1986-10-01;0.14
GCAG;1970-01-01;0.12140000000000001
GISTEMP;1989-05-01;0.17
GISTEMP;1984-02-01;0.17
GISTEMP;1963-10-01;0.15
GCAG;1952-06-01;0.0396
GCAG;1946-11-01;-0.0119
GCAG;1909-05-01;-0.45120000000000005
GCAG;1881-04-01;0.0734
GISTEMP;2014-09-01;0.9
GISTEMP;1951-08-01;0.05
GCAG;1896-08-01;-0.0723
GISTEMP;1884-10-01;-0.22
GCAG;1980-04-01;0.30820000000000003
GISTEMP;1921-04-01;-0.36
GCAG;1905-05-01;-0.2879
GCAG;1881-01-01;-0.0205
GISTEMP;1995-10-01;0.49
GISTEMP;1957-08-01;0.14
GCAG;1923-11-01;0.0285
GISTEMP;1908-08-01;-0.45
GISTEMP;1906-03-01;-0.15
GCAG;1979-10-01;0.29450000000000004
GISTEMP;1937-06-01;-0.08
GISTEMP;1933-06-01;-0.32
GISTEMP;1896-03-01;-0.29
GCAG;1888-08-01;-0.1633
GISTEMP;1952-07-01;0.05
GISTEMP;1945-12-01;-0.1
GISTEMP;2009-08-01;0.66
GCAG;2005-09-01;0.6867000000000001
GISTEMP;2001-03-01;0.58
GISTEMP;1961-02-01;0.18
GISTEMP;1931-11-01;-0.12
GCAG;1883-07-01;-0.0849
GCAG;1897-05-01;-0.0256
GCAG;2004-06-01;0.4707
GISTEMP;1939-11-01;0.06
GISTEMP;1927-12-01;-0.36
GISTEMP;1918-04-01;-0.4
GCAG;1890-03-01;-0.3189
GCAG;1930-11-01;0.1368
GCAG;1920-02-01;-0.2197
GCAG;1910-04-01;-0.339
GCAG;1886-03-01;-0.2823
GISTEMP;1991-01-01;0.42
GISTEMP;1981-04-01;0.32
GCAG;1993-08-01;0.21180000000000002
GCAG;1990-11-01;0.4797
GCAG;1949-12-01;-0.1821
GCAG;1992-11-01;0.09430000000000001
GISTEMP;1991-03-01;0.36
